,ratio,rmse
741,0.05236717742291707,94962376.0159146
918,0.2842576538937246,94962376.0159146
688,1.3207227024934463,94962376.0159146
239,0.19334874528701035,94962376.0159146
733,0.3121393313550824,94962376.0159146
726,0.19595806737571328,94962376.0159146
327,0.7841445052102854,94962376.0159146
457,0.19525382723096127,94962376.0159146
1112,2.697108709597214,94962376.0159146
936,0.45943410629258014,94962376.0159146
1204,1.0057774989522763,94962376.0159146
116,1.7784706694893038,94962376.0159146
695,1.4054749280537806,94962376.0159146
995,1.4233399045902855,94962376.0159146
1504,0.29251783553541594,94962376.0159146
1743,0.7258119365616887,94962376.0159146
564,0.6470441212830217,94962376.0159146
1151,1.4129757892091153,94962376.0159146
1002,0.9722459694376112,94962376.0159146
469,0.5035333663281147,94962376.0159146
1334,0.4371583283603026,94962376.0159146
1244,0.22811484209975455,94962376.0159146
1251,1.2519890761307324,94962376.0159146
867,2.1406358139631894,94962376.0159146
629,0.3169844466682223,94962376.0159146
1533,0.42542338800118484,94962376.0159146
1344,0.3760850292348581,94962376.0159146
222,0.7925983862284584,94962376.0159146
535,2.9732529640527656,94962376.0159146
678,0.5965200034495497,94962376.0159146
780,1.2578229523479367,94962376.0159146
1680,3.643727027655615,94962376.0159146
910,0.757728551466991,94962376.0159146
1163,0.6141730188087613,94962376.0159146
230,1.9475716006292159,94962376.0159146
495,0.4322933758364864,94962376.0159146
1659,1.2061521217683995,94962376.0159146
241,1.2297211043564042,94962376.0159146
177,2.1406278881192664,94962376.0159146
161,0.7038641598673482,94962376.0159146
1104,1.0087757935914743,94962376.0159146
1483,2.4185424363728827,94962376.0159146
286,0.7722409669319076,94962376.0159146
1494,0.9454318073573862,94962376.0159146
991,4.256556620414485,94962376.0159146
344,1.2143325797727185,94962376.0159146
1094,4.154872757332073,94962376.0159146
202,1.5229996730285267,94962376.0159146
1485,0.822944936495297,94962376.0159146
1257,0.742004300280487,94962376.0159146
1451,2.587937154031838,94962376.0159146
643,2.8117426337477767,94962376.0159146
1175,0.04496688758140807,94962376.0159146
1226,4.4887053717380505,94962376.0159146
930,0.06923174244781123,94962376.0159146
707,2.6938481786090063,94962376.0159146
547,1.0133252532737673,94962376.0159146
585,0.28606723223633174,94962376.0159146
1069,4.506380614207194,94962376.0159146
74,1.0795919447082543,94962376.0159146
943,2.6803676447310356,94962376.0159146
1193,1.004512711010156,94962376.0159146
1414,0.15885367906011327,94962376.0159146
290,0.39645399687320737,94962376.0159146
1399,9.407326151885535,94962376.0159146
410,1.4204943991313435,94962376.0159146
1404,4.754308986664243,94962376.0159146
1387,2.6228024028642882,94962376.0159146
541,0.5707044497327707,94962376.0159146
189,2.114948534904782,94962376.0159146
1013,0.5095001482670088,94962376.0159146
1678,0.10640914846974127,94962376.0159146
114,1.1560135800118878,94962376.0159146
1039,0.14368215966310066,94962376.0159146
1260,1.0300923672324602,94962376.0159146
151,2.4476090188749318,94962376.0159146
101,0.6933741223035418,94962376.0159146
899,0.6119988458618676,94962376.0159146
806,0.1157979010306472,94962376.0159146
889,1.6117459427210226,94962376.0159146
49,0.9699720374100174,94962376.0159146
1577,3.106369918157258,94962376.0159146
1738,0.35639937872183947,94962376.0159146
1040,0.6206823824978245,94962376.0159146
711,1.7663370085260182,94962376.0159146
782,1.075583930293097,94962376.0159146
1127,1.1386836420680602,94962376.0159146
1089,1.1601012977654235,94962376.0159146
716,0.1542760940035076,94962376.0159146
925,0.21609551065820104,94962376.0159146
1688,2.0580900480587356,94962376.0159146
1014,0.4155911063179294,94962376.0159146
398,0.9972668881061086,94962376.0159146
901,0.6429515678348378,94962376.0159146
1692,1.0336841546119977,94962376.0159146
577,0.1705442282716021,94962376.0159146
743,0.9061852754663422,94962376.0159146
1374,0.4527855002259727,94962376.0159146
127,1.2961886247968222,94962376.0159146
1138,0.8551375371554385,94962376.0159146
1723,0.6445453127600439,94962376.0159146
